,source,disaster_type,report_dat,tags,Desa,Kecamatan,Kabupaten,Provinsi,long,lat,datetime
3802,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 4, ""condition"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Bandengan,Kota Kendal,Kendal,Jawa Tengah,110.21193000000001,-6.90315,2021-06-06 23:33:54
3810,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-MA"" }",Saunulu,Tehoru,Maluku Tengah,Maluku,129.45387,-3.2575,2021-06-16 11:27:44
3849,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-JT"" }",Adipala,Adipala,Cilacap,Jawa Tengah,109.146702,-7.6583820000000005,2021-09-08 16:41:40
3897,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Pecatu,Kuta Selatan,Badung,Bali,115.12367238600001,-8.803950791,2021-10-09 00:00:00
3942,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": null }",-,-,-,-,126.0186768,0.7742196,2021-11-10 13:24:48
3946,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Kedewatan,Ubud,Gianyar,Bali,115.25465009999999,-8.4786226,2021-10-15 20:32:47
3948,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 2 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Karangasem,Karangasem,Karang Asem,Bali,115.6124223,-8.434730199999999,2021-10-16 11:50:18
3949,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Karangasem,Karangasem,Karang Asem,Bali,115.61242460000001,-8.4347306,2021-10-16 11:07:06
3951,grasp,earthquake,"{ ""points"": 1, ""condition"": 0, ""report_type"": ""road"", ""accessabilityFailure"": 1 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Datah,Abang,Karang Asem,Bali,115.58734059999999,-8.3530194,2021-10-19 07:25:03
3952,grasp,earthquake,"{ ""report_type"": ""road"", ""accessabilityFailure"": 1, ""condition"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": ""ID-BA"" }",Culik,Abang,Karang Asem,Bali,115.6164237,-8.3427833,2021-10-19 08:35:22
3956,grasp,earthquake,"{ ""report_type"": ""structure"", ""structureFailure"": 0 }","{ ""district_id"": null, ""local_area_id"": null, ""instance_region_code"": null }",-,-,-,-,2.3514605,48.8566964,2021-10-19 07:00:27
