,Location,loc,point,lat,lon,altitude
274,"JEMBER,JAWA TIMUR","Jember, Jawa Timur, Indonesia","(-8.1688563, 113.7021772, 0.0)",-8.1688563,113.7021772,0.0
275,"ASAHAN,SUMATERA UTARA","Asahan, Sumatera Utara, 21211, Indonesia","(3.0963433, 99.8905262468976, 0.0)",3.0963433,99.8905262468976,0.0
276,"SERDANG BEDAGAI,SUMATERA UTARA","Serdang Bedagai, Sumatera Utara, Indonesia","(3.5931148, 99.15833092741082, 0.0)",3.5931148,99.15833092741082,0.0
277,"KOTA SURAKARTA,JAWA TENGAH","Taman Kota Punggawan, Ketelan, Surakarta, Jawa Tengah, 57132, Indonesia","(-7.56455835, 110.8182743897866, 0.0)",-7.56455835,110.8182743897866,0.0
278,"JEPARA,JAWA TENGAH","Jepara, Jawa Tengah, Indonesia","(-6.5906502, 110.6673202, 0.0)",-6.5906502,110.6673202,0.0
279,"ACEH UTARA,ACEH","Aceh Utara, Aceh, Indonesia","(4.99119405, 97.1587368058996, 0.0)",4.99119405,97.1587368058996,0.0
280,"LUWU UTARA,SULAWESI SELATAN","Luwu Utara, Sulawesi Selatan, Indonesia","(-2.5951257, 120.2562544, 0.0)",-2.5951257,120.2562544,0.0
281,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
282,"CILACAP,JAWA TENGAH","Cilacap, Jawa Tengah, Indonesia","(-7.46167105, 108.80461463117007, 0.0)",-7.46167105,108.80461463117007,0.0
283,"CILACAP,JAWA TENGAH","Cilacap, Jawa Tengah, Indonesia","(-7.46167105, 108.80461463117007, 0.0)",-7.46167105,108.80461463117007,0.0
284,"LABUHAN BATU UTARA,SUMATERA UTARA","Labuhan Bilik, Labuhanbatu, Sumatera Utara, Indonesia","(2.514607, 100.1703718, 0.0)",2.514607,100.1703718,0.0
285,"MUSI BANYU ASIN,SUMATERA SELATAN","PT Musi Banyu Asin, Jalan Blabak, RW 08, Ilir Timur II, Palembang, Sumatera Selatan, 30117, Indonesia","(-2.9802207000000003, 104.78620195148719, 0.0)",-2.9802207000000003,104.78620195148719,0.0
286,"HULU SUNGAI TENGAH,KALIMANTAN SELATAN","Hulu Sungai Tengah, Kalimantan Selatan, Indonesia","(-2.6187576999999997, 115.42929968958293, 0.0)",-2.6187576999999997,115.42929968958293,0.0
287,"HALMAHERA UTARA,MALUKU UTARA","Halmahera Utara, Maluku Utara, 97762, Indonesia","(1.6178705, 127.8584679014164, 0.0)",1.6178705,127.8584679014164,0.0
288,"LANGKAT,SUMATERA UTARA","Langkat, Sumatera Utara, Indonesia","(3.8290501, 98.24827397454335, 0.0)",3.8290501,98.24827397454335,0.0
289,"LABUHAN BATU UTARA,SUMATERA UTARA","Labuhan Bilik, Labuhanbatu, Sumatera Utara, Indonesia","(2.514607, 100.1703718, 0.0)",2.514607,100.1703718,0.0
290,"CILACAP,JAWA TENGAH","Cilacap, Jawa Tengah, Indonesia","(-7.46167105, 108.80461463117007, 0.0)",-7.46167105,108.80461463117007,0.0
291,"BANDUNG,JAWA BARAT","Jawa Barat, Cibiru, Cipadung Kidul, Panyileukan, Bandung, Jawa Barat, 40624, Indonesia","(-6.9342173, 107.7222573, 0.0)",-6.9342173,107.7222573,0.0
292,"JEMBER,JAWA TIMUR","Jember, Jawa Timur, Indonesia","(-8.1688563, 113.7021772, 0.0)",-8.1688563,113.7021772,0.0
293,"ACEH TENGGARA,ACEH","Aceh Tenggara, Aceh, 24651, Indonesia","(3.338797, 97.74564237389382, 0.0)",3.338797,97.74564237389382,0.0
294,"HULU SUNGAI TENGAH,KALIMANTAN SELATAN","Hulu Sungai Tengah, Kalimantan Selatan, Indonesia","(-2.6187576999999997, 115.42929968958293, 0.0)",-2.6187576999999997,115.42929968958293,0.0
295,"PEKALONGAN,JAWA TENGAH","Pekalongan, Jawa Tengah, Indonesia","(-7.0424390500000005, 109.61916069886243, 0.0)",-7.0424390500000005,109.61916069886243,0.0
296,"BLORA,JAWA TENGAH","Blora, Jawa Tengah, 58211 - 58219, Indonesia","(-7.11054465, 111.42035148693856, 0.0)",-7.11054465,111.42035148693856,0.0
297,"LUWU UTARA,SULAWESI SELATAN","Luwu Utara, Sulawesi Selatan, Indonesia","(-2.5951257, 120.2562544, 0.0)",-2.5951257,120.2562544,0.0
298,"BANYUWANGI,JAWA TIMUR","Banyuwangi, Jawa Timur, Indonesia","(-8.2094973, 114.3737201, 0.0)",-8.2094973,114.3737201,0.0
